,crange,PBE-,PBE-G06,PBE-D3,PBE-D3-BJ,PBE-D4,PBE-TS,PBE-MBD,PBE-XDM
0,4.0,4.819821407200038,4.198385738800084,4.499605536499985,4.363030162200062,4.233769427700054,4.1063767379999945,4.2186895051999045,4.394568022600083
1,5.0,1.1219454037000105,0.5825522492000346,0.8006261696999672,0.6684509720000733,0.608083812000018,0.5914997521999794,0.6793290650999779,0.7708489535000353
2,6.0,0.20614943210000547,-0.19432837559998006,-0.08187979690001157,-0.13984367949990428,-0.15749121019996437,-0.2318271028000254,-0.11786820620000071,-0.06330885629995464
3,6.25,0.12871866440002577,-0.22076650349993088,-0.14277029360005145,-0.18651055169993924,-0.20040917560004345,-0.2942892785999902,-0.16763851680002517,-0.11923713189992213
4,6.5,0.07733679199998278,-0.22474275059994397,-0.1754657778000137,-0.2080369593999194,-0.2185083855999892,-0.32375899900000604,-0.1920324442000947,-0.1491427853999312
5,6.75,0.04296887020007034,-0.21738548899998023,-0.19049214780000057,-0.2140295386999469,-0.22131232109995835,-0.3274936290000596,-0.20032421630003228,-0.1623620317999439
6,7.0,0.02122686460006662,-0.20340463729996827,-0.1933093694000263,-0.20924973319995388,-0.21358277970000472,-0.31278290750003634,-0.197281342100041,-0.16370427569995627
7,7.25,0.006395556100073918,-0.18795813839994935,-0.19008794989997568,-0.19959403639995799,-0.20122752700001456,-0.28954324440007895,-0.18889417530010633,-0.15924209529998734
8,7.5,-0.0015845846999127389,-0.17030860419993132,-0.1809250891000147,-0.18521257459997287,-0.18444428370003152,-0.2611442107000812,-0.1754277851000552,-0.14924698489994626
9,8.5,-0.011414798999908271,-0.11036882679991322,-0.12991758919997665,-0.12582104629996138,-0.11830582649997723,-0.16284172650000528,-0.1176634939000678,-0.10228586029995768
10,10.0,-0.007243709399972431,-0.05480891569993673,-0.06522083109996402,-0.06335822059998009,-0.05298679370002901,-0.0786448036000138,-0.05805698220001432,-0.05015370879993952
11,14.0,0.00020184959998914564,-0.00584451409997655,-0.006828796800050441,-0.006774193100000048,-0.003063788499957809,-0.008358697900007428,-0.006138947400017969,-0.004233304899912582
12,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
